TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5
37.0,0.037000000000000005,0.0,0.114,0.231,0.094,0.523,0.026,0.407,0.0,0.105,0.423,0.04,0.003,0.974,0.013,0.0,0.003,0.006999999999999999,0.0,0.902,0.026,0.029,0.0,0.043,0.013,0.625,0.0,0.338,0.024,0.0
38.0,0.044,0.0,0.111,0.097,0.204,0.5429999999999999,0.026,0.373,0.0,0.081,0.086,0.434,0.0,0.983,0.013,0.0,0.0,0.004,0.0,0.884,0.051,0.021,0.0,0.043,0.021,0.619,0.003,0.331,0.026,0.0
39.0,0.017,0.0,0.231,0.414,0.25,0.087,0.014,0.26,0.0,0.057,0.029,0.64,0.006,0.8270000000000001,0.024,0.0,0.126,0.017,0.0,0.887,0.041,0.025,0.0,0.046,0.006,0.799,0.006,0.165,0.024,0.0
40.0,0.02,0.0,0.173,0.419,0.179,0.21,0.014,0.269,0.0,0.055,0.017,0.644,0.0,0.964,0.009000000000000001,0.0,0.0,0.027000000000000003,0.0,0.87,0.041,0.029,0.0,0.06,0.006,0.897,0.0,0.079,0.019,0.0
41.0,0.014,0.0,0.184,0.573,0.149,0.08,0.013,0.35600000000000004,0.0,0.093,0.453,0.086,0.0,0.986,0.0,0.0,0.0,0.014,0.0,0.745,0.123,0.08900000000000001,0.0,0.043,0.0,0.8240000000000001,0.009000000000000001,0.14800000000000002,0.02,0.0
42.0,0.014,0.0,0.177,0.493,0.239,0.077,0.009000000000000001,0.252,0.0,0.086,0.611,0.041,0.0,0.986,0.0,0.0,0.0,0.014,0.0,0.855,0.047,0.056,0.0,0.041,0.004,0.736,0.001,0.242,0.016,0.0
43.0,0.006,0.0,0.244,0.557,0.109,0.084,0.027000000000000003,0.42,0.0,0.114,0.166,0.273,0.004,0.909,0.017,0.0,0.051,0.019,0.0,0.875,0.039,0.045,0.0,0.041,0.013,0.563,0.006,0.391,0.027000000000000003,0.0
44.0,0.003,0.0,0.22,0.639,0.069,0.07,0.01,0.2,0.0,0.08,0.043,0.667,0.0,0.099,0.106,0.0,0.71,0.086,0.0,0.778,0.053,0.121,0.0,0.049,0.004,0.459,0.014,0.494,0.029,0.0
45.0,0.0,0.0,0.16399999999999998,0.727,0.041,0.067,0.009000000000000001,0.235,0.0,0.107,0.586,0.064,0.001,0.5539999999999999,0.081,0.0,0.306,0.057,0.0,0.759,0.059,0.136,0.0,0.046,0.001,0.484,0.013,0.475,0.027000000000000003,0.0
46.0,0.01,0.0,0.134,0.287,0.496,0.073,0.014,0.249,0.0,0.085,0.611,0.04,0.0,0.863,0.053,0.0,0.051,0.033,0.0,0.84,0.061,0.064,0.0,0.034,0.013,0.517,0.004,0.426,0.04,0.0
47.0,0.014,0.0,0.131,0.111,0.6859999999999999,0.057,0.01,0.198,0.0,0.117,0.633,0.043,0.0,0.7040000000000001,0.061,0.0,0.177,0.057,0.0,0.797,0.069,0.084,0.0,0.05,0.009000000000000001,0.362,0.001,0.285,0.343,0.0
48.0,0.014,0.0,0.13699999999999998,0.1,0.691,0.057,0.006999999999999999,0.197,0.0,0.114,0.47,0.211,0.003,0.733,0.057,0.0,0.153,0.054000000000000006,0.0,0.7170000000000001,0.053,0.183,0.0,0.047,0.004,0.399,0.0,0.258,0.339,0.0
49.0,0.014,0.0,0.14300000000000002,0.1,0.6859999999999999,0.057,0.023,0.421,0.0,0.099,0.03,0.4270000000000001,0.0,0.99,0.003,0.0,0.0,0.006999999999999999,0.0,0.883,0.04,0.049,0.0,0.027000000000000003,0.009000000000000001,0.76,0.001,0.2,0.03,0.0
50.0,0.014,0.0,0.14300000000000002,0.1,0.6859999999999999,0.057,0.013,0.505,0.0,0.057,0.016,0.41,0.01,0.846,0.034,0.0,0.084,0.026,0.0,0.937,0.02,0.026,0.0,0.017,0.0,0.946,0.006,0.037000000000000005,0.011,0.0
51.0,0.014,0.0,0.14300000000000002,0.101,0.6859999999999999,0.056,0.014,0.201,0.0,0.081,0.064,0.64,0.016,0.264,0.099,0.0,0.501,0.12,0.0,0.841,0.06,0.055,0.0,0.044,0.0,0.875,0.014,0.077,0.033,0.0
52.0,0.006999999999999999,0.0,0.201,0.444,0.281,0.066,0.014,0.179,0.0,0.081,0.066,0.66,0.0,0.174,0.077,0.0,0.6990000000000001,0.05,0.0,0.804,0.063,0.08199999999999999,0.0,0.051,0.009000000000000001,0.607,0.121,0.221,0.043,0.0
53.0,0.0,0.0,0.229,0.65,0.067,0.054000000000000006,0.014,0.197,0.0,0.08900000000000001,0.04,0.66,0.016,0.32,0.207,0.0,0.393,0.064,0.0,0.873,0.044,0.057,0.0,0.026,0.006999999999999999,0.4,0.014,0.528,0.05,0.0
54.0,0.0,0.0,0.194,0.72,0.043,0.043,0.014,0.181,0.0,0.112,0.039,0.654,0.0,0.8270000000000001,0.073,0.0,0.014,0.086,0.0,0.8029999999999999,0.061,0.12,0.0,0.016,0.0,0.336,0.0,0.629,0.036000000000000004,0.0
55.0,0.0,0.0,0.179,0.73,0.037000000000000005,0.054000000000000006,0.011,0.224,0.0,0.109,0.467,0.189,0.0,0.821,0.077,0.0,0.013,0.08900000000000001,0.0,0.782,0.037000000000000005,0.154,0.0,0.027000000000000003,0.0,0.332,0.0,0.488,0.18,0.0
56.0,0.003,0.0,0.124,0.68,0.139,0.054000000000000006,0.014,0.224,0.0,0.099,0.617,0.046,0.0,0.8270000000000001,0.067,0.0,0.013,0.093,0.0,0.878,0.031,0.07200000000000001,0.0,0.019,0.001,0.388,0.0,0.518,0.093,0.0
57.0,0.003,0.0,0.099,0.7490000000000001,0.109,0.041,0.014,0.223,0.0,0.1,0.617,0.046,0.0,0.826,0.076,0.0,0.006,0.093,0.0,0.723,0.011,0.245,0.0,0.02,0.003,0.398,0.0,0.522,0.077,0.0
58.0,0.0,0.0,0.129,0.799,0.033,0.04,0.003,0.195,0.0,0.133,0.626,0.043,0.011,0.613,0.139,0.0,0.104,0.133,0.0,0.6990000000000001,0.003,0.28300000000000003,0.0,0.016,0.0,0.358,0.0,0.574,0.069,0.0
59.0,0.0,0.0,0.126,0.77,0.044,0.06,0.023,0.17600000000000002,0.0,0.136,0.623,0.043,0.047,0.16399999999999998,0.387,0.0,0.196,0.206,0.0,0.77,0.024,0.18,0.0,0.026,0.0,0.318,0.0,0.589,0.093,0.0
60.0,0.0,0.0,0.101,0.8059999999999999,0.039,0.054000000000000006,0.016,0.211,0.0,0.116,0.614,0.043,0.013,0.364,0.151,0.0,0.236,0.236,0.0,0.705,0.013,0.263,0.0,0.019,0.0,0.32,0.0,0.5760000000000001,0.104,0.0
61.0,0.001,0.0,0.2,0.604,0.127,0.067,0.011,0.21,0.0,0.107,0.626,0.046,0.0,0.8029999999999999,0.07,0.0,0.039,0.08900000000000001,0.0,0.815,0.04,0.123,0.0,0.023,0.003,0.401,0.0,0.503,0.093,0.0
62.0,0.003,0.0,0.14300000000000002,0.7659999999999999,0.033,0.056,0.006,0.21600000000000005,0.0,0.129,0.607,0.043,0.0,0.8059999999999999,0.087,0.0,0.01,0.097,0.0,0.716,0.01,0.244,0.0,0.03,0.0,0.391,0.0,0.486,0.123,0.0
63.0,0.0,0.0,0.147,0.7609999999999999,0.037000000000000005,0.054000000000000006,0.011,0.224,0.0,0.113,0.61,0.041,0.0,0.831,0.066,0.0,0.004,0.099,0.0,0.6759999999999999,0.0,0.3,0.0,0.024,0.0,0.309,0.0,0.45,0.241,0.0
64.0,0.0,0.0,0.16899999999999998,0.706,0.077,0.049,0.006999999999999999,0.181,0.0,0.14300000000000002,0.621,0.047,0.053,0.35100000000000003,0.31,0.0,0.134,0.151,0.0,0.767,0.01,0.203,0.0,0.02,0.0,0.24,0.0,0.4270000000000001,0.333,0.0
65.0,0.001,0.0,0.124,0.77,0.041,0.063,0.014,0.175,0.0,0.139,0.629,0.043,0.054000000000000006,0.14400000000000002,0.687,0.0,0.026,0.08900000000000001,0.0,0.708,0.001,0.276,0.0,0.014,0.0,0.229,0.0,0.428,0.343,0.0
66.0,0.009000000000000001,0.0,0.08,0.397,0.454,0.06,0.017,0.087,0.0,0.08199999999999999,0.7859999999999999,0.029,0.021,0.077,0.06,0.0,0.46,0.381,0.0,0.685,0.009000000000000001,0.275,0.0,0.031,0.001,0.199,0.0,0.299,0.501,0.0
67.0,0.001,0.0,0.069,0.217,0.657,0.056,0.03,0.17,0.0,0.123,0.614,0.063,0.06,0.194,0.434,0.0,0.22,0.091,0.0,0.688,0.017,0.24,0.0,0.054000000000000006,0.013,0.215,0.0,0.4,0.373,0.0
68.0,0.006999999999999999,0.0,0.073,0.204,0.6609999999999999,0.054000000000000006,0.027000000000000003,0.118,0.0,0.124,0.6759999999999999,0.056,0.049,0.09,0.261,0.0,0.507,0.093,0.0,0.674,0.013,0.257,0.0,0.056,0.006,0.175,0.0,0.329,0.49,0.0
69.0,0.0,0.0,0.097,0.35600000000000004,0.491,0.056,0.026,0.133,0.0,0.191,0.593,0.057,0.079,0.139,0.451,0.0,0.196,0.136,0.0,0.6759999999999999,0.004,0.27,0.0,0.05,0.006999999999999999,0.226,0.0,0.411,0.35600000000000004,0.0
70.0,0.0,0.0,0.123,0.42,0.377,0.08,0.03,0.114,0.0,0.149,0.647,0.06,0.0,0.07400000000000001,0.1,0.0,0.754,0.071,0.0,0.6890000000000001,0.0,0.268,0.0,0.043,0.0,0.18,0.0,0.302,0.519,0.0
71.0,0.0,0.0,0.204,0.484,0.211,0.1,0.02,0.13699999999999998,0.0,0.133,0.6409999999999999,0.069,0.054000000000000006,0.269,0.309,0.0,0.22,0.149,0.0,0.6990000000000001,0.0,0.261,0.0,0.04,0.0,0.223,0.0,0.405,0.373,0.0
72.0,0.001,0.0,0.206,0.599,0.119,0.076,0.006999999999999999,0.159,0.0,0.135,0.63,0.069,0.059,0.107,0.7070000000000001,0.0,0.031,0.096,0.0,0.7340000000000001,0.0,0.246,0.0,0.02,0.0,0.229,0.0,0.414,0.35700000000000004,0.0
73.0,0.001,0.0,0.16699999999999998,0.5770000000000001,0.181,0.073,0.023,0.114,0.0,0.233,0.5670000000000001,0.063,0.06,0.104,0.696,0.0,0.051,0.08900000000000001,0.0,0.8240000000000001,0.02,0.139,0.0,0.017,0.003,0.228,0.0,0.421,0.349,0.0
74.0,0.0,0.0,0.083,0.8029999999999999,0.066,0.049,0.041,0.173,0.0,0.213,0.529,0.044,0.061,0.121,0.6659999999999999,0.0,0.037000000000000005,0.114,0.0,0.708,0.014,0.258,0.0,0.02,0.0,0.24,0.0,0.4370000000000001,0.32299999999999995,0.0
75.0,0.0,0.0,0.166,0.6970000000000001,0.071,0.066,0.03,0.195,0.0,0.128,0.593,0.054000000000000006,0.057,0.1,0.7290000000000001,0.0,0.029,0.086,0.0,0.7909999999999999,0.024,0.16399999999999998,0.0,0.021,0.0,0.285,0.0,0.483,0.231,0.0
76.0,0.0,0.0,0.124,0.769,0.043,0.064,0.023,0.207,0.0,0.119,0.61,0.041,0.057,0.1,0.7290000000000001,0.0,0.029,0.086,0.0,0.693,0.003,0.29,0.0,0.014,0.0,0.237,0.0,0.435,0.327,0.0
77.0,0.0,0.0,0.146,0.747,0.044,0.063,0.026,0.189,0.0,0.115,0.616,0.054000000000000006,0.034,0.106,0.189,0.0,0.037000000000000005,0.634,0.0,0.737,0.009000000000000001,0.236,0.0,0.019,0.0,0.29,0.0,0.483,0.227,0.0
78.0,0.0,0.0,0.16899999999999998,0.6990000000000001,0.064,0.069,0.021,0.184,0.0,0.11,0.619,0.066,0.054000000000000006,0.17600000000000002,0.156,0.0,0.061,0.5529999999999999,0.0,0.733,0.011,0.227,0.0,0.029,0.0,0.345,0.0,0.519,0.136,0.0
79.0,0.003,0.0,0.189,0.396,0.331,0.081,0.017,0.17600000000000002,0.0,0.107,0.629,0.071,0.07400000000000001,0.34600000000000003,0.206,0.0,0.09,0.284,0.0,0.68,0.019,0.266,0.0,0.036000000000000004,0.004,0.263,0.0,0.451,0.281,0.0
80.0,0.047,0.0,0.051,0.297,0.246,0.359,0.019,0.174,0.0,0.107,0.629,0.071,0.03,0.471,0.116,0.0,0.25,0.133,0.0,0.5379999999999999,0.021,0.386,0.0,0.054000000000000006,0.011,0.263,0.0,0.464,0.261,0.0
81.0,0.054000000000000006,0.0,0.043,0.317,0.057,0.529,0.016,0.18,0.0,0.109,0.627,0.069,0.014,0.669,0.116,0.0,0.097,0.104,0.0,0.257,0.029,0.64,0.0,0.07400000000000001,0.0,0.239,0.0,0.416,0.344,0.0
82.0,0.029,0.0,0.043,0.331,0.079,0.519,0.019,0.191,0.0,0.111,0.619,0.06,0.016,0.636,0.121,0.0,0.131,0.096,0.0,0.207,0.026,0.6809999999999999,0.0,0.086,0.009000000000000001,0.28,0.014,0.3720000000000001,0.326,0.0
83.0,0.066,0.0,0.04,0.257,0.103,0.534,0.03,0.277,0.0,0.109,0.174,0.41,0.006999999999999999,0.066,0.076,0.0,0.6759999999999999,0.17600000000000002,0.0,0.185,0.027000000000000003,0.6,0.0,0.187,0.02,0.447,0.014,0.28300000000000003,0.236,0.0
84.0,0.501,0.0,0.071,0.063,0.081,0.28300000000000003,0.01,0.187,0.0,0.1,0.373,0.33,0.009000000000000001,0.534,0.123,0.0,0.244,0.09,0.006,0.33,0.06,0.539,0.0,0.066,0.014,0.555,0.014,0.342,0.07400000000000001,0.0
85.0,0.536,0.0,0.071,0.077,0.073,0.243,0.033,0.606,0.0,0.077,0.231,0.053,0.003,0.903,0.057,0.0,0.009000000000000001,0.029,0.006,0.362,0.067,0.503,0.0,0.061,0.014,0.586,0.006,0.354,0.04,0.0
86.0,0.524,0.0,0.046,0.177,0.053,0.2,0.04,0.72,0.0,0.13699999999999998,0.051,0.051,0.0,0.901,0.054000000000000006,0.0,0.011,0.033,0.001,0.309,0.053,0.583,0.0,0.054000000000000006,0.01,0.644,0.011,0.303,0.031,0.0
87.0,0.539,0.0,0.067,0.08900000000000001,0.07,0.236,0.034,0.7879999999999999,0.0,0.071,0.057,0.05,0.011,0.757,0.081,0.0,0.069,0.081,0.0,0.225,0.5429999999999999,0.171,0.0,0.061,0.019,0.589,0.011,0.26,0.121,0.0
88.0,0.4370000000000001,0.0,0.064,0.066,0.069,0.364,0.034,0.615,0.0,0.108,0.187,0.056,0.0,0.7959999999999999,0.076,0.0,0.014,0.114,0.0,0.196,0.643,0.11,0.0,0.051,0.016,0.597,0.023,0.266,0.099,0.0
89.0,0.106,0.0,0.057,0.066,0.06,0.711,0.056,0.255,0.0,0.105,0.506,0.079,0.006,0.763,0.104,0.0,0.014,0.113,0.0,0.197,0.649,0.101,0.0,0.054000000000000006,0.011,0.645,0.019,0.25,0.076,0.0
90.0,0.07400000000000001,0.0,0.071,0.083,0.057,0.7140000000000001,0.041,0.246,0.0,0.105,0.546,0.061,0.0,0.84,0.086,0.0,0.014,0.06,0.0,0.17800000000000002,0.643,0.114,0.0,0.064,0.0,0.855,0.014,0.101,0.03,0.0
91.0,0.111,0.0,0.056,0.061,0.059,0.713,0.061,0.434,0.0,0.14800000000000002,0.294,0.063,0.004,0.847,0.057,0.0,0.057,0.034,0.0,0.18600000000000005,0.631,0.112,0.0,0.07,0.003,0.825,0.013,0.121,0.039,0.0
92.0,0.119,0.0,0.053,0.057,0.057,0.7140000000000001,0.041,0.5489999999999999,0.0,0.108,0.237,0.064,0.001,0.927,0.03,0.0,0.01,0.031,0.0,0.223,0.601,0.124,0.0,0.051,0.0,0.8759999999999999,0.01,0.08800000000000001,0.026,0.0
93.0,0.06,0.0,0.07400000000000001,0.066,0.086,0.7140000000000001,0.019,0.8540000000000001,0.0,0.044,0.059,0.024,0.0,0.986,0.014,0.0,0.0,0.0,0.0,0.293,0.557,0.112,0.0,0.039,0.0,0.925,0.001,0.059,0.014,0.0
94.0,0.031,0.0,0.086,0.086,0.093,0.7040000000000001,0.033,0.825,0.0,0.05,0.047,0.044,0.021,0.5489999999999999,0.084,0.0,0.28,0.066,0.0,0.238,0.5710000000000001,0.121,0.0,0.07,0.006,0.7509999999999999,0.01,0.191,0.041,0.0
95.0,0.033,0.0,0.093,0.093,0.086,0.696,0.029,0.772,0.0,0.067,0.071,0.061,0.08,0.486,0.179,0.0,0.054000000000000006,0.201,0.0,0.2,0.6409999999999999,0.108,0.0,0.05,0.014,0.615,0.014,0.319,0.037000000000000005,0.0
