TIME,P1_TO_LAPTOP,P1_TO_P1,P1_TO_P2,P1_TO_P3,P1_TO_P4,P1_TO_P5,P1_TO_P6,P2_TO_LAPTOP,P2_TO_P1,P2_TO_P2,P2_TO_P3,P2_TO_P4,P2_TO_P5,P2_TO_P6,P3_TO_LAPTOP,P3_TO_P1,P3_TO_P2,P3_TO_P3,P3_TO_P4,P3_TO_P5,P3_TO_P6,P4_TO_LAPTOP,P4_TO_P1,P4_TO_P2,P4_TO_P3,P4_TO_P4,P4_TO_P5,P4_TO_P6,P5_TO_LAPTOP,P5_TO_P1,P5_TO_P2,P5_TO_P3,P5_TO_P4,P5_TO_P5,P5_TO_P6,P6_TO_LAPTOP,P6_TO_P1,P6_TO_P2,P6_TO_P3,P6_TO_P4,P6_TO_P5,P6_TO_P6
10.0,0.623,0.0,0.093,0.049,0.046,0.071,0.119,0.097,0.08,0.0,0.16399999999999998,0.073,0.001,0.584,0.277,0.107,0.141,0.0,0.063,0.076,0.336,0.037000000000000005,0.097,0.033,0.031,0.0,0.056,0.746,0.184,0.039,0.014,0.177,0.08,0.0,0.506,0.58,0.247,0.033,0.053,0.046,0.041,0.0
11.0,0.6759999999999999,0.0,0.114,0.059,0.057,0.071,0.023,0.087,0.073,0.0,0.237,0.079,0.004,0.52,0.231,0.111,0.35100000000000003,0.0,0.073,0.059,0.174,0.1,0.14,0.043,0.107,0.0,0.119,0.491,0.477,0.07400000000000001,0.019,0.153,0.071,0.0,0.206,0.129,0.653,0.07400000000000001,0.046,0.029,0.07,0.0
12.0,0.6629999999999999,0.0,0.114,0.071,0.057,0.071,0.023,0.154,0.059,0.0,0.063,0.091,0.0,0.633,0.207,0.066,0.586,0.0,0.036000000000000004,0.04,0.066,0.21,0.206,0.046,0.204,0.0,0.171,0.163,0.273,0.051,0.017,0.184,0.071,0.0,0.403,0.68,0.126,0.031,0.067,0.043,0.053,0.0
13.0,0.634,0.0,0.109,0.09,0.059,0.076,0.033,0.113,0.047,0.0,0.059,0.07,0.0,0.711,0.21600000000000005,0.07,0.537,0.0,0.031,0.029,0.117,0.209,0.154,0.037000000000000005,0.131,0.0,0.253,0.21600000000000005,0.426,0.073,0.021,0.163,0.064,0.0,0.253,0.7240000000000001,0.1,0.029,0.057,0.044,0.046,0.0
14.0,0.6859999999999999,0.0,0.116,0.057,0.056,0.071,0.014,0.21600000000000005,0.047,0.0,0.066,0.054000000000000006,0.0,0.617,0.523,0.076,0.28300000000000003,0.0,0.023,0.031,0.064,0.401,0.139,0.006,0.18600000000000005,0.0,0.119,0.15,0.446,0.053,0.016,0.134,0.053,0.0,0.299,0.727,0.1,0.029,0.057,0.046,0.041,0.0
15.0,0.7859999999999999,0.0,0.08,0.034,0.04,0.05,0.01,0.289,0.06,0.0,0.163,0.06,0.001,0.4270000000000001,0.779,0.09,0.024,0.0,0.024,0.013,0.07,0.401,0.163,0.0,0.221,0.0,0.116,0.099,0.677,0.024,0.006999999999999999,0.083,0.029,0.0,0.18,0.784,0.077,0.021,0.05,0.04,0.027000000000000003,0.0
16.0,0.684,0.0,0.109,0.044,0.056,0.071,0.036000000000000004,0.11,0.066,0.0,0.157,0.06,0.0,0.607,0.5329999999999999,0.099,0.057,0.0,0.039,0.043,0.23,0.25,0.171,0.047,0.33,0.0,0.131,0.07,0.35100000000000003,0.024,0.013,0.15,0.046,0.0,0.416,0.677,0.16399999999999998,0.027000000000000003,0.053,0.051,0.027000000000000003,0.0
17.0,0.674,0.0,0.113,0.051,0.057,0.071,0.033,0.126,0.091,0.0,0.063,0.04,0.0,0.68,0.727,0.097,0.03,0.0,0.03,0.019,0.097,0.264,0.191,0.036000000000000004,0.273,0.0,0.13699999999999998,0.099,0.229,0.014,0.01,0.13699999999999998,0.061,0.0,0.5489999999999999,0.696,0.14400000000000002,0.03,0.053,0.05,0.027000000000000003,0.0
18.0,0.7509999999999999,0.0,0.086,0.05,0.044,0.054000000000000006,0.014,0.511,0.087,0.0,0.03,0.021,0.001,0.349,0.8029999999999999,0.08,0.023,0.0,0.023,0.011,0.06,0.344,0.113,0.0,0.429,0.0,0.049,0.066,0.44,0.006999999999999999,0.0,0.091,0.024,0.0,0.4370000000000001,0.853,0.057,0.014,0.037000000000000005,0.023,0.016,0.0
19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.971,0.029,0.0,0.0,0.0,0.0,0.0,0.993,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.377,0.101,0.009000000000000001,0.109,0.0,0.114,0.29,0.6829999999999999,0.0,0.0,0.036000000000000004,0.006,0.0,0.276,0.939,0.019,0.003,0.026,0.011,0.003,0.0
20.0,0.966,0.0,0.011,0.009000000000000001,0.004,0.006999999999999999,0.003,0.971,0.029,0.0,0.0,0.0,0.0,0.0,0.993,0.0,0.006999999999999999,0.0,0.0,0.0,0.0,0.449,0.106,0.001,0.317,0.0,0.084,0.043,0.769,0.0,0.0,0.036000000000000004,0.0,0.0,0.196,0.967,0.014,0.0,0.014,0.004,0.0,0.0
21.0,0.821,0.0,0.07,0.029,0.03,0.041,0.009000000000000001,0.887,0.066,0.0,0.02,0.006,0.003,0.019,0.883,0.033,0.034,0.0,0.011,0.014,0.024,0.363,0.1,0.0,0.43,0.0,0.049,0.059,0.7959999999999999,0.0,0.0,0.031,0.0,0.0,0.173,0.8809999999999999,0.041,0.01,0.034,0.02,0.013,0.0
22.0,0.816,0.0,0.057,0.026,0.02,0.064,0.017,0.899,0.056,0.0,0.02,0.006,0.003,0.017,0.85,0.047,0.037000000000000005,0.0,0.014,0.016,0.036000000000000004,0.446,0.111,0.011,0.067,0.0,0.196,0.16899999999999998,0.79,0.001,0.0,0.044,0.003,0.0,0.161,0.904,0.037000000000000005,0.009000000000000001,0.029,0.011,0.01,0.0
23.0,0.7859999999999999,0.0,0.077,0.04,0.031,0.051,0.014,0.883,0.06,0.0,0.023,0.01,0.003,0.021,0.474,0.329,0.113,0.0,0.02,0.021,0.043,0.517,0.136,0.016,0.086,0.0,0.18600000000000005,0.06,0.823,0.004,0.0,0.041,0.001,0.0,0.13,0.871,0.037000000000000005,0.016,0.037000000000000005,0.021,0.017,0.0
24.0,0.6890000000000001,0.0,0.119,0.057,0.053,0.069,0.014,0.7,0.146,0.0,0.043,0.026,0.014,0.071,0.341,0.19,0.243,0.0,0.051,0.056,0.119,0.261,0.133,0.026,0.09,0.0,0.34,0.15,0.439,0.033,0.014,0.114,0.046,0.0,0.354,0.7440000000000001,0.09,0.029,0.056,0.043,0.039,0.0
25.0,0.6859999999999999,0.0,0.126,0.057,0.046,0.071,0.014,0.687,0.159,0.0,0.043,0.026,0.014,0.071,0.411,0.117,0.246,0.0,0.053,0.054000000000000006,0.119,0.13699999999999998,0.07,0.033,0.07,0.0,0.6409999999999999,0.049,0.45,0.024,0.039,0.133,0.07,0.0,0.284,0.7440000000000001,0.084,0.029,0.057,0.043,0.043,0.0
26.0,0.809,0.0,0.076,0.04,0.024,0.041,0.01,0.833,0.094,0.0,0.023,0.013,0.006,0.031,0.754,0.077,0.114,0.0,0.01,0.011,0.033,0.377,0.059,0.016,0.057,0.0,0.467,0.024,0.389,0.021,0.369,0.091,0.053,0.0,0.077,0.7909999999999999,0.07,0.024,0.046,0.036000000000000004,0.033,0.0
27.0,0.763,0.0,0.073,0.044,0.04,0.063,0.017,0.774,0.124,0.0,0.03,0.013,0.01,0.049,0.797,0.046,0.024,0.0,0.013,0.019,0.101,0.5329999999999999,0.071,0.013,0.039,0.0,0.044,0.3,0.491,0.021,0.131,0.09,0.05,0.0,0.21600000000000005,0.813,0.061,0.02,0.046,0.036000000000000004,0.024,0.0
28.0,0.3,0.0,0.151,0.116,0.063,0.077,0.293,0.669,0.159,0.0,0.04,0.021,0.014,0.097,0.383,0.086,0.044,0.0,0.033,0.024,0.43,0.119,0.11,0.04,0.039,0.0,0.076,0.617,0.181,0.011,0.43,0.136,0.047,0.0,0.194,0.736,0.08900000000000001,0.029,0.063,0.043,0.041,0.0
29.0,0.179,0.0,0.063,0.557,0.079,0.046,0.077,0.6970000000000001,0.147,0.0,0.043,0.027000000000000003,0.014,0.071,0.306,0.113,0.097,0.0,0.056,0.056,0.373,0.481,0.081,0.067,0.107,0.0,0.1,0.163,0.17,0.204,0.177,0.153,0.094,0.0,0.201,0.7390000000000001,0.099,0.029,0.059,0.043,0.033,0.0
30.0,0.254,0.0,0.136,0.317,0.08,0.051,0.161,0.7190000000000001,0.126,0.0,0.043,0.027000000000000003,0.014,0.071,0.3670000000000001,0.096,0.099,0.0,0.053,0.06,0.326,0.29600000000000004,0.117,0.043,0.101,0.0,0.123,0.32,0.284,0.043,0.016,0.154,0.07400000000000001,0.0,0.429,0.7390000000000001,0.1,0.029,0.057,0.043,0.033,0.0
31.0,0.16899999999999998,0.0,0.209,0.126,0.07400000000000001,0.08900000000000001,0.334,0.6890000000000001,0.127,0.0,0.039,0.017,0.014,0.114,0.153,0.076,0.056,0.0,0.033,0.011,0.6709999999999999,0.069,0.113,0.043,0.047,0.0,0.061,0.667,0.21,0.021,0.014,0.161,0.06,0.0,0.5329999999999999,0.733,0.1,0.029,0.057,0.051,0.03,0.0
32.0,0.299,0.0,0.22,0.127,0.07,0.113,0.171,0.711,0.13,0.0,0.043,0.02,0.014,0.081,0.221,0.081,0.066,0.0,0.037000000000000005,0.031,0.563,0.104,0.109,0.033,0.006,0.0,0.053,0.696,0.35100000000000003,0.023,0.014,0.149,0.05,0.0,0.413,0.73,0.1,0.029,0.057,0.049,0.036000000000000004,0.0
33.0,0.057,0.0,0.161,0.076,0.05,0.227,0.429,0.687,0.124,0.0,0.039,0.014,0.014,0.121,0.153,0.073,0.056,0.0,0.033,0.013,0.6729999999999999,0.047,0.109,0.041,0.02,0.0,0.06,0.723,0.214,0.014,0.021,0.146,0.057,0.0,0.547,0.733,0.1,0.029,0.057,0.043,0.039,0.0
34.0,0.096,0.0,0.153,0.076,0.151,0.401,0.123,0.7090000000000001,0.134,0.0,0.043,0.029,0.014,0.071,0.194,0.08,0.067,0.0,0.043,0.026,0.59,0.06,0.116,0.043,0.03,0.0,0.059,0.693,0.29,0.023,0.029,0.146,0.057,0.0,0.456,0.703,0.13699999999999998,0.029,0.056,0.043,0.033,0.0
35.0,0.099,0.0,0.156,0.42,0.08900000000000001,0.101,0.136,0.693,0.15,0.0,0.043,0.029,0.014,0.071,0.277,0.093,0.114,0.0,0.063,0.083,0.37,0.08,0.099,0.039,0.026,0.0,0.063,0.6940000000000001,0.301,0.02,0.017,0.159,0.059,0.0,0.444,0.5,0.321,0.046,0.054000000000000006,0.041,0.037000000000000005,0.0
36.0,0.056,0.0,0.071,0.629,0.073,0.071,0.1,0.679,0.16399999999999998,0.0,0.043,0.029,0.014,0.071,0.244,0.09,0.12,0.0,0.07,0.1,0.376,0.057,0.099,0.043,0.033,0.0,0.08,0.6890000000000001,0.35700000000000004,0.037000000000000005,0.014,0.16699999999999998,0.064,0.0,0.36,0.284,0.537,0.05,0.047,0.034,0.047,0.0
37.0,0.057,0.0,0.071,0.629,0.071,0.071,0.1,0.69,0.153,0.0,0.043,0.029,0.014,0.071,0.183,0.077,0.069,0.0,0.043,0.013,0.616,0.136,0.117,0.049,0.103,0.0,0.126,0.47,0.29600000000000004,0.021,0.019,0.16,0.07400000000000001,0.0,0.43,0.21,0.557,0.091,0.044,0.039,0.059,0.0
38.0,0.043,0.0,0.07,0.579,0.103,0.069,0.13699999999999998,0.494,0.159,0.0,0.054000000000000006,0.04,0.01,0.243,0.16,0.071,0.084,0.0,0.041,0.017,0.626,0.057,0.099,0.043,0.017,0.0,0.06,0.7240000000000001,0.32,0.086,0.026,0.154,0.09,0.0,0.324,0.113,0.14,0.5589999999999999,0.09,0.027000000000000003,0.071,0.0
39.0,0.017,0.0,0.08,0.34700000000000003,0.31,0.053,0.193,0.029,0.09,0.0,0.067,0.07,0.0,0.7440000000000001,0.14400000000000002,0.07,0.08,0.0,0.044,0.033,0.629,0.09,0.1,0.03,0.051,0.0,0.08900000000000001,0.64,0.07,0.15,0.037000000000000005,0.116,0.101,0.0,0.526,0.214,0.463,0.149,0.08,0.044,0.05,0.0
40.0,0.001,0.0,0.014,0.066,0.019,0.011,0.889,0.004,0.017,0.0,0.006999999999999999,0.006999999999999999,0.0,0.964,0.016,0.01,0.006999999999999999,0.0,0.003,0.003,0.961,0.066,0.309,0.01,0.193,0.0,0.073,0.35,0.029,0.199,0.014,0.014,0.019,0.0,0.726,0.126,0.6509999999999999,0.091,0.057,0.043,0.031,0.0
41.0,0.016,0.0,0.049,0.104,0.09,0.014,0.727,0.036000000000000004,0.067,0.0,0.036000000000000004,0.033,0.0,0.8290000000000001,0.307,0.193,0.059,0.0,0.017,0.031,0.393,0.079,0.097,0.029,0.101,0.0,0.08900000000000001,0.606,0.113,0.011,0.01,0.087,0.044,0.0,0.7340000000000001,0.174,0.436,0.14400000000000002,0.111,0.053,0.081,0.0
42.0,0.033,0.0,0.094,0.153,0.5710000000000001,0.066,0.083,0.036000000000000004,0.121,0.0,0.064,0.057,0.0,0.721,0.129,0.629,0.086,0.0,0.029,0.071,0.057,0.094,0.13,0.046,0.13,0.0,0.136,0.464,0.477,0.087,0.03,0.131,0.071,0.0,0.203,0.229,0.359,0.136,0.117,0.056,0.104,0.0
43.0,0.071,0.0,0.21600000000000005,0.21,0.237,0.121,0.14400000000000002,0.071,0.114,0.0,0.063,0.06,0.0,0.691,0.441,0.3,0.086,0.0,0.037000000000000005,0.049,0.087,0.109,0.311,0.124,0.249,0.0,0.101,0.106,0.48,0.109,0.04,0.117,0.069,0.0,0.18600000000000005,0.11,0.6509999999999999,0.086,0.054000000000000006,0.043,0.056,0.0
44.0,0.069,0.0,0.166,0.413,0.119,0.099,0.136,0.103,0.114,0.0,0.057,0.054000000000000006,0.001,0.67,0.6990000000000001,0.174,0.036000000000000004,0.0,0.021,0.006999999999999999,0.063,0.1,0.68,0.027000000000000003,0.066,0.0,0.033,0.094,0.489,0.146,0.029,0.091,0.07400000000000001,0.0,0.171,0.126,0.643,0.1,0.043,0.036000000000000004,0.053,0.0
45.0,0.043,0.0,0.067,0.476,0.306,0.047,0.061,0.027000000000000003,0.073,0.0,0.071,0.094,0.0,0.7340000000000001,0.7,0.17600000000000002,0.036000000000000004,0.0,0.014,0.0,0.07400000000000001,0.1,0.6729999999999999,0.029,0.059,0.0,0.041,0.099,0.417,0.191,0.027000000000000003,0.08,0.08900000000000001,0.0,0.196,0.131,0.657,0.1,0.029,0.029,0.054000000000000006,0.0
46.0,0.087,0.0,0.247,0.116,0.197,0.079,0.274,0.03,0.059,0.0,0.06,0.1,0.0,0.7509999999999999,0.7390000000000001,0.113,0.041,0.0,0.024,0.01,0.073,0.091,0.5770000000000001,0.041,0.096,0.0,0.081,0.113,0.38,0.1,0.02,0.229,0.093,0.0,0.179,0.129,0.6509999999999999,0.103,0.031,0.029,0.057,0.0
47.0,0.083,0.0,0.224,0.11,0.166,0.071,0.34600000000000003,0.03,0.056,0.0,0.063,0.1,0.0,0.7509999999999999,0.743,0.109,0.039,0.0,0.024,0.01,0.076,0.1,0.466,0.113,0.116,0.0,0.097,0.109,0.476,0.097,0.029,0.136,0.083,0.0,0.18,0.127,0.653,0.101,0.031,0.029,0.059,0.0
48.0,0.056,0.0,0.11,0.071,0.606,0.061,0.096,0.027000000000000003,0.061,0.0,0.071,0.1,0.0,0.74,0.607,0.149,0.037000000000000005,0.0,0.023,0.009000000000000001,0.17600000000000002,0.094,0.67,0.017,0.06,0.0,0.03,0.129,0.397,0.097,0.029,0.16,0.091,0.0,0.226,0.129,0.654,0.1,0.031,0.03,0.056,0.0
49.0,0.047,0.0,0.13699999999999998,0.081,0.407,0.106,0.221,0.017,0.077,0.0,0.069,0.1,0.0,0.737,0.061,0.001,0.097,0.0,0.067,0.073,0.7,0.073,0.599,0.017,0.059,0.0,0.03,0.223,0.383,0.059,0.037000000000000005,0.127,0.08900000000000001,0.0,0.306,0.179,0.16699999999999998,0.044,0.066,0.006,0.539,0.0
50.0,0.041,0.0,0.114,0.063,0.517,0.087,0.177,0.029,0.063,0.0,0.071,0.099,0.0,0.7390000000000001,0.053,0.013,0.09,0.0,0.07,0.073,0.701,0.066,0.361,0.016,0.311,0.0,0.056,0.19,0.177,0.34,0.09,0.109,0.08900000000000001,0.0,0.196,0.203,0.141,0.017,0.039,0.0,0.6,0.0
51.0,0.039,0.0,0.127,0.047,0.523,0.079,0.18600000000000005,0.014,0.067,0.0,0.073,0.099,0.0,0.747,0.053,0.03,0.14300000000000002,0.0,0.051,0.053,0.67,0.063,0.086,0.024,0.084,0.0,0.099,0.644,0.059,0.151,0.071,0.131,0.114,0.0,0.473,0.226,0.15,0.113,0.109,0.036000000000000004,0.3670000000000001,0.0
52.0,0.051,0.0,0.237,0.243,0.237,0.096,0.136,0.019,0.1,0.0,0.16699999999999998,0.127,0.017,0.57,0.109,0.059,0.271,0.0,0.056,0.056,0.45,0.066,0.14300000000000002,0.046,0.16399999999999998,0.0,0.114,0.467,0.02,0.679,0.066,0.107,0.054000000000000006,0.0,0.07400000000000001,0.107,0.066,0.234,0.463,0.059,0.071,0.0
53.0,0.06,0.0,0.19,0.29,0.21,0.11,0.14,0.021,0.131,0.0,0.17,0.093,0.02,0.564,0.109,0.06,0.501,0.0,0.054000000000000006,0.044,0.231,0.026,0.113,0.04,0.113,0.0,0.09,0.619,0.02,0.679,0.066,0.107,0.057,0.0,0.071,0.119,0.07,0.08900000000000001,0.507,0.13699999999999998,0.079,0.0
54.0,0.053,0.0,0.2,0.253,0.101,0.193,0.2,0.014,0.116,0.0,0.07,0.057,0.0,0.743,0.096,0.049,0.217,0.0,0.046,0.029,0.564,0.047,0.081,0.016,0.687,0.0,0.057,0.111,0.027000000000000003,0.6509999999999999,0.07,0.063,0.056,0.0,0.133,0.123,0.05,0.069,0.233,0.163,0.363,0.0
55.0,0.037000000000000005,0.0,0.119,0.044,0.374,0.287,0.139,0.014,0.117,0.0,0.07,0.053,0.0,0.746,0.084,0.054000000000000006,0.086,0.0,0.043,0.03,0.703,0.054000000000000006,0.103,0.043,0.404,0.0,0.237,0.159,0.033,0.619,0.086,0.077,0.067,0.0,0.119,0.247,0.14300000000000002,0.18,0.166,0.134,0.13,0.0
56.0,0.043,0.0,0.1,0.03,0.6409999999999999,0.086,0.1,0.056,0.204,0.0,0.059,0.04,0.003,0.639,0.086,0.057,0.086,0.0,0.043,0.029,0.7,0.014,0.071,0.073,0.086,0.0,0.6709999999999999,0.084,0.073,0.393,0.15,0.153,0.113,0.0,0.119,0.273,0.217,0.13699999999999998,0.129,0.049,0.196,0.0
57.0,0.073,0.0,0.266,0.156,0.139,0.156,0.211,0.597,0.24,0.0,0.034,0.019,0.014,0.096,0.097,0.054000000000000006,0.076,0.0,0.043,0.03,0.7,0.021,0.087,0.06,0.076,0.0,0.504,0.251,0.084,0.249,0.16399999999999998,0.2,0.149,0.0,0.154,0.177,0.484,0.114,0.1,0.051,0.073,0.0
58.0,0.066,0.0,0.316,0.104,0.149,0.23,0.136,0.114,0.8290000000000001,0.0,0.01,0.004,0.006999999999999999,0.036000000000000004,0.134,0.639,0.09,0.0,0.019,0.013,0.106,0.05,0.601,0.02,0.041,0.0,0.08,0.207,0.039,0.569,0.079,0.129,0.1,0.0,0.086,0.05,0.84,0.033,0.033,0.017,0.027000000000000003,0.0
59.0,0.067,0.0,0.16,0.361,0.077,0.199,0.136,0.003,0.997,0.0,0.0,0.0,0.0,0.0,0.004,0.986,0.001,0.0,0.001,0.006,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.013,0.856,0.046,0.036000000000000004,0.033,0.0,0.017,0.0,0.999,0.0,0.001,0.0,0.0,0.0
60.0,0.054000000000000006,0.0,0.091,0.57,0.119,0.073,0.093,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.001,0.0,1.0,0.0,0.0,0.0,0.0,0.0
61.0,0.081,0.0,0.334,0.1,0.179,0.083,0.223,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.001,0.994,0.0,0.0,0.0,0.004,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006,0.974,0.003,0.003,0.006999999999999999,0.0,0.006999999999999999,0.0,0.999,0.0,0.001,0.0,0.0,0.0
62.0,0.057,0.0,0.134,0.066,0.041,0.037000000000000005,0.664,0.003,0.987,0.0,0.0,0.0,0.003,0.006999999999999999,0.009000000000000001,0.927,0.051,0.0,0.004,0.001,0.006999999999999999,0.003,0.89,0.006,0.036000000000000004,0.0,0.011,0.054000000000000006,0.123,0.4370000000000001,0.031,0.084,0.059,0.0,0.266,0.001,0.996,0.0,0.001,0.0,0.001,0.0
63.0,0.084,0.0,0.336,0.1,0.071,0.13699999999999998,0.271,0.021,0.907,0.0,0.006999999999999999,0.003,0.016,0.046,0.0,0.999,0.0,0.0,0.0,0.001,0.0,0.084,0.383,0.04,0.19,0.0,0.154,0.149,0.151,0.311,0.037000000000000005,0.109,0.064,0.0,0.327,0.021,0.94,0.014,0.004,0.004,0.016,0.0
64.0,0.057,0.0,0.71,0.08900000000000001,0.029,0.016,0.1,0.009000000000000001,0.961,0.0,0.001,0.0,0.009000000000000001,0.02,0.0,0.951,0.034,0.0,0.0,0.014,0.0,0.071,0.441,0.039,0.126,0.0,0.136,0.187,0.119,0.5660000000000001,0.024,0.081,0.054000000000000006,0.0,0.156,0.004,0.971,0.003,0.014,0.0,0.006999999999999999,0.0
65.0,0.061,0.0,0.6809999999999999,0.094,0.034,0.021,0.107,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.017,0.741,0.204,0.0,0.01,0.013,0.014,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,0.983,0.0,0.0,0.009000000000000001,0.0,0.001,0.0,0.986,0.0,0.014,0.0,0.0,0.0
66.0,0.08900000000000001,0.0,0.371,0.139,0.081,0.126,0.194,0.026,0.971,0.0,0.0,0.0,0.0,0.003,0.02,0.654,0.284,0.0,0.014,0.006999999999999999,0.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99,0.0,0.01,0.0,0.0,0.0
67.0,0.07400000000000001,0.0,0.187,0.086,0.063,0.187,0.403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.991,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.987,0.013,0.0,0.0,0.0,0.0,0.0,0.997,0.0,0.003,0.0,0.0,0.0
68.0,0.044,0.0,0.1,0.047,0.014,0.013,0.7809999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.919,0.06,0.0,0.004,0.001,0.006999999999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.041,0.657,0.096,0.093,0.064,0.0,0.049,0.0,0.999,0.0,0.001,0.0,0.0,0.0
